1, 0, 41, 61, 0, 101, 121, 0, 161, 181, 0, 221, 241, 0, 281, 301, 0, 341, 361, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 23, 43, 0, 83, 103, 0, 143, 163, 0, 203, 223, 0, 263, 283, 0, 323, 343, 0, 383
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 25, 0, 65, 85, 0, 125, 145, 0, 185, 205, 0, 245, 265, 0, 305, 325, 0, 365, 385
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0, 47, 67, 0, 107, 127, 0, 167, 187, 0, 227, 247, 0, 287, 307, 0, 347, 367, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 29, 49, 0, 89, 109, 0, 149, 169, 0, 209, 229, 0, 269, 289, 0, 329, 349, 0, 389
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 31, 0, 71, 91, 0, 131, 151, 0, 191, 211, 0, 251, 271, 0, 311, 331, 0, 371, 391
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 0, 53, 73, 0, 113, 133, 0, 173, 193, 0, 233, 253, 0, 293, 313, 0, 353, 373, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 35, 55, 0, 95, 115, 0, 155, 175, 0, 215, 235, 0, 275, 295, 0, 335, 355, 0, 395
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 37, 0, 77, 97, 0, 137, 157, 0, 197, 217, 0, 257, 277, 0, 317, 337, 0, 377, 397
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, 0, 59, 79, 0, 119, 139, 0, 179, 199, 0, 239, 259, 0, 299, 319, 0, 359, 379, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
